date,nav_regular_growth,nav_direct_growth
2022-09-22,13.5515,14.0599
2022-09-23,13.4546,13.9597
2022-09-26,13.3641,13.8667
2022-09-27,13.3806,13.8841
2022-09-28,13.3363,13.8385
2022-09-29,13.3394,13.8420
2022-09-30,13.4201,13.9260
2022-10-03,13.3704,13.8754
2022-10-04,13.4897,13.9995
2022-10-06,13.5081,14.0193
2022-10-07,13.4949,14.0058
2022-10-10,13.4871,13.9987
2022-10-11,13.4142,13.9234
2022-10-12,13.4618,13.9730
2022-10-13,13.4247,13.9348
2022-10-14,13.4673,13.9794
2022-10-17,13.5163,14.0312
2022-10-18,13.5620,14.0789
2022-10-19,13.5599,14.0771
2022-10-20,13.5763,14.0944
2022-10-21,13.5902,14.1091
2022-10-25,13.6690,14.1922
2022-10-27,13.7141,14.2396
2022-10-28,13.7098,14.2355
2022-10-31,13.7588,14.2873
2022-11-01,13.8104,14.3413
2022-11-02,13.7932,14.3237
2022-11-03,13.7622,14.2918
2022-11-04,13.7632,14.2931
2022-11-07,13.8056,14.3382
2022-11-09,13.7989,14.3319
2022-11-10,13.7463,14.2775
2022-11-11,13.8403,14.3755
2022-11-14,13.8487,14.3852
2022-11-15,13.8802,14.4182
2022-11-16,13.8855,14.4240
2022-11-17,13.8647,14.4028
2022-11-18,13.8463,14.3839
2022-11-21,13.8163,14.3537
2022-11-22,13.8454,14.3843
2022-11-23,13.8602,14.4000
2022-11-24,13.9318,14.4746
2022-11-25,13.9451,14.4888
2022-11-28,13.9452,14.4899
2022-11-29,13.9525,14.4978
2022-11-30,13.9926,14.5398
2022-12-01,14.0189,14.5674
2022-12-02,13.9943,14.5422
2022-12-05,14.0055,14.5548
2022-12-06,13.9749,14.5233
2022-12-07,13.9539,14.5018
2022-12-08,13.9834,14.5328
2022-12-09,13.9376,14.4856
2022-12-12,13.9413,14.4904
2022-12-13,13.9854,14.5366
2022-12-14,14.0247,14.5777
2022-12-15,13.9654,14.5164
2022-12-16,13.9131,14.4624
2022-12-19,13.9433,14.4948
2022-12-20,13.9305,14.4818
2022-12-21,13.8826,14.4323
2022-12-22,13.8574,14.4065
2022-12-23,13.7707,14.3166
2022-12-26,13.8437,14.3935
2022-12-27,13.8903,14.4423
2022-12-28,13.8885,14.4408
2022-12-29,13.9106,14.4641
2022-12-30,13.8792,14.4317
2023-01-02,13.9150,14.4700
2023-01-03,13.9224,14.4780
2023-01-04,13.8690,14.4228
2023-01-05,13.8707,14.4248
2023-01-06,13.8270,14.3797
2023-01-09,13.9023,14.4590
2023-01-10,13.8691,14.4249
2023-01-11,13.8642,14.4201
2023-01-12,13.8728,14.4294
2023-01-13,13.9012,14.4592
2023-01-16,13.8939,14.4526
2023-01-17,13.9284,14.4888
2023-01-18,13.9626,14.5247
2023-01-19,13.9663,14.5289
2023-01-20,13.9470,14.5092
2023-01-23,13.9831,14.5477
2023-01-24,13.9823,14.5472
2023-01-25,13.9166,14.4791
2023-01-27,13.8594,14.4204
2023-01-30,13.8398,14.4009
2023-01-31,13.8506,14.4125
2023-02-01,13.8864,14.4501
2023-02-02,13.9107,14.4757
2023-02-03,13.9661,14.5336
2023-02-06,13.9487,14.5165
2023-02-07,13.9251,14.4924
2023-02-08,13.9526,14.5213
2023-02-09,13.9619,14.5313
2023-02-10,13.9596,14.5292
2023-02-13,13.9417,14.5116
2023-02-14,13.9827,14.5546
2023-02-15,14.0036,14.5766
2023-02-16,14.0113,14.5850
2023-02-17,13.9827,14.5556
2023-02-20,13.9649,14.5380
2023-02-21,13.9543,14.5274
2023-02-22,13.8966,14.4676
2023-02-23,13.8958,14.4671
2023-02-24,13.8830,14.4541
2023-02-27,13.8488,14.4195
2023-02-28,13.8200,14.3898
2023-03-01,13.8675,14.4396
2023-03-02,13.8363,14.4074
2023-03-03,13.8995,14.4736
2023-03-06,13.9434,14.5203
2023-03-08,13.9601,14.5383
2023-03-09,13.9260,14.5032
2023-03-10,13.8956,14.4718
2023-03-13,13.8409,14.4158
2023-03-14,13.8054,14.3792
2023-03-15,13.7924,14.3659
2023-03-16,13.7927,14.3666
2023-03-17,13.8309,14.4067
2023-03-20,13.8088,14.3847
2023-03-21,13.8187,14.3953
2023-03-22,13.8387,14.4165
2023-03-23,13.8315,14.4093
2023-03-24,13.8021,14.3790
2023-03-27,13.8032,14.3811
2023-03-28,13.7858,14.3634
2023-03-29,13.8256,14.4051
2023-03-31,13.9105,14.4943
2023-04-03,13.9345,14.5203
2023-04-05,13.9817,14.5701
2023-04-06,14.0135,14.6036
2023-04-10,14.0535,14.6465
2023-04-11,14.0714,14.6656
2023-04-12,14.1063,14.7023
2023-04-13,14.1043,14.7005
2023-04-17,14.0582,14.6538
2023-04-18,14.0749,14.6715
2023-04-19,14.0611,14.6575
2023-04-20,14.0719,14.6691
2023-04-21,14.0681,14.6654
2023-04-24,14.1044,14.7043
2023-04-25,14.1197,14.7206
2023-04-26,14.1459,14.7483
2023-04-27,14.1789,14.7829
2023-04-28,14.2167,14.8227
2023-05-02,14.2520,14.8608
2023-05-03,14.2544,14.8638
2023-05-04,14.2858,14.8968
2023-05-05,14.2265,14.8353
2023-05-08,14.2973,14.9102
2023-05-09,14.3021,14.9155
2023-05-10,14.3249,14.9396
2023-05-11,14.2974,14.9113
