date,nav_regular_growth,nav_direct_growth
2022-06-15,43.7688,46.5659
2022-06-16,43.2862,46.0539
2022-06-17,42.7013,45.433
2022-06-20,42.7495,45.4885
2022-06-21,43.4032,46.1855
2022-06-22,43.1514,45.919
2022-06-23,43.3493,46.131
2022-06-24,43.9154,46.7348
2022-06-27,44.7156,47.5907
2022-06-28,44.4541,47.3139
2022-06-29,43.8901,46.715
2022-06-30,43.9943,46.8274
2022-07-01,43.9741,46.8073
2022-07-04,44.3153,47.1749
2022-07-05,44.2883,47.1476
2022-07-06,44.9369,47.8395
2022-07-07,45.3411,48.2713
2022-07-08,45.772,48.7315
2022-07-11,45.8935,48.8655
2022-07-12,45.4601,48.4055
2022-07-13,45.0505,47.9708
2022-07-14,44.7771,47.6812
2022-07-15,44.7382,47.6411
2022-07-18,45.2661,48.2078
2022-07-19,45.2785,48.2224
2022-07-20,45.8815,48.8662
2022-07-21,46.2008,49.2078
2022-07-22,46.44,49.4641
2022-07-25,46.0561,49.0597
2022-07-26,45.7499,48.735
2022-07-27,45.6404,48.6198
2022-07-28,46.6218,49.6669
2022-07-29,46.9119,49.9775
2022-08-01,47.5442,50.6558
2022-08-02,47.5319,50.6442
2022-08-03,47.4611,50.5703
2022-08-04,47.7571,50.8873
2022-08-05,47.8529,50.9908
2022-08-08,48.0475,51.2029
2022-08-10,48.0571,51.2162
2022-08-11,48.6219,51.8196
2022-08-12,48.6624,51.8644
2022-08-16,49.1291,52.368
2022-08-17,49.4495,52.7112
2022-08-18,49.3556,52.6126
2022-08-19,48.9681,52.2012
2022-08-22,48.2478,51.438
2022-08-23,48.117,51.3001
2022-08-24,48.1801,51.3688
2022-08-25,48.0477,51.2292
2022-08-26,48.3521,51.5554
2022-08-29,47.5592,50.7145
2022-08-30,48.1315,51.3263
2022-09-01,47.9454,51.1309
2022-09-02,47.9733,51.1622
2022-09-05,48.1309,51.3348
2022-09-06,48.2512,51.4646
2022-09-07,48.1677,51.377
2022-09-08,49.0022,52.2687
2022-09-09,49.1886,52.4691
2022-09-12,49.5186,52.8258
2022-09-13,49.8148,53.1433
2022-09-14,49.4834,52.7911
2022-09-15,49.4022,52.7059
2022-09-16,48.4719,51.7146
2022-09-19,48.4988,51.7473
2022-09-20,49.023,52.308
2022-09-21,48.7243,51.9906
2022-09-22,48.3598,51.6029
2022-09-23,47.7898,50.996
2022-09-26,46.9913,50.1478
2022-09-27,46.8359,49.9832
2022-09-28,46.4449,49.5671
2022-09-29,46.5992,49.7331
2022-09-30,46.7469,49.892
2022-10-03,46.5477,49.6832
2022-10-04,47.3826,50.5757
2022-10-06,47.9776,51.2132
2022-10-07,48.0356,51.2764
2022-10-10,47.4834,50.6906
2022-10-11,47.0647,50.2449
2022-10-12,47.2741,50.4695
2022-10-13,47.2154,50.4082
2022-10-14,47.58,50.7986
2022-10-17,47.4305,50.6426
2022-10-18,48.0654,51.3218
2022-10-19,48.3052,51.5791
2022-10-20,48.2153,51.4843
2022-10-21,48.2989,51.5748
2022-10-25,48.9281,52.2518
2022-10-27,48.7937,52.1107
2022-10-28,48.2409,51.5216
2022-10-31,48.6352,51.9464
2022-11-01,48.67,51.9849
2022-11-02,48.4071,51.7054
2022-11-03,48.0381,51.3125
2022-11-04,47.7146,50.9681
2022-11-07,48.164,51.4519
2022-11-09,48.4201,51.7279
2022-11-10,48.0069,51.2877
2022-11-11,48.9112,52.2551
2022-11-14,48.9893,52.3423
2022-11-15,49.0278,52.3847
2022-11-16,49.1628,52.5302
2022-11-17,48.9794,52.3356
2022-11-18,48.8124,52.1584
2022-11-21,48.6802,52.0208
2022-11-22,48.6542,51.9944
2022-11-23,48.7089,52.054
2022-11-24,49.1229,52.4977
2022-11-25,49.1419,52.5193
2022-11-28,49.1274,52.5076
2022-11-29,48.9068,52.2731
2022-11-30,49.1334,52.5166
2022-12-01,49.5846,53.0001
2022-12-02,49.4725,52.8816
2022-12-05,49.4753,52.8884
2022-12-06,49.2346,52.6323
2022-12-07,48.8626,52.236
2022-12-08,48.8689,52.2439
2022-12-09,48.6828,52.0462
2022-12-12,48.7105,52.0796
2022-12-13,49.0134,52.4048
2022-12-14,49.3284,52.7428
2022-12-15,48.982,52.3737
2022-12-16,48.3786,51.7298
2022-12-19,48.6654,52.0402
2022-12-20,48.4638,51.8258
2022-12-21,48.206,51.5514
2022-12-22,48.0705,51.4078
2022-12-23,47.095,50.3658
2022-12-26,47.6429,50.9555
2022-12-27,47.7773,51.1004
2022-12-28,47.6879,51.006
2022-12-29,47.6921,51.0117
2022-12-30,47.7107,51.0328
2023-01-02,47.7592,51.0882
2023-01-03,47.8869,51.2259
2023-01-04,47.7035,51.031
2023-01-05,47.5977,50.919
2023-01-06,47.2078,50.5032
2023-01-09,47.7426,51.0789
2023-01-10,47.6465,50.9772
2023-01-11,47.6514,50.9837
2023-01-12,47.9688,51.3246
2023-01-13,48.2449,51.6212
2023-01-16,48.1575,51.5313
2023-01-17,48.2521,51.6338
2023-01-18,48.3595,51.75
2023-01-19,48.3598,51.7515
2023-01-20,48.3395,51.731
2023-01-23,48.9865,52.4271
2023-01-24,49.0976,52.5474
2023-01-25,48.5536,51.9664
2023-01-27,48.4481,51.856
2023-01-30,48.6139,52.0371
2023-01-31,48.5491,51.969
2023-02-01,48.8797,52.3241
2023-02-02,49.1239,52.5869
2023-02-03,50.0764,53.6078
2023-02-06,49.7686,53.2821
2023-02-07,49.5654,53.0658
2023-02-08,49.9386,53.4666
2023-02-09,49.4875,52.9848
2023-02-10,49.2001,52.6782
2023-02-13,49.0071,52.4751
2023-02-14,49.3306,52.8227
2023-02-15,49.3824,52.8794
2023-02-16,49.4951,53.0012
2023-02-17,49.2247,52.7128
2023-02-20,49.0848,52.5665
2023-02-21,49.0724,52.5544
2023-02-22,48.6158,52.0666
2023-02-23,48.626,52.0787
2023-02-24,48.6683,52.1252
2023-02-27,48.4988,51.9471
2023-02-28,48.5308,51.9826
2023-03-01,48.8446,52.3198
2023-03-02,48.7211,52.1887
2023-03-03,49.0363,52.5275
2023-03-06,49.5911,53.1254
2023-03-08,49.6408,53.181
2023-03-09,49.3999,52.9241
2023-03-10,49.0317,52.5308
2023-03-13,48.4387,51.8989
2023-03-14,48.4919,51.9571
2023-03-15,48.686,52.1662
2023-03-16,48.9376,52.437
2023-03-17,49.2848,52.8102
2023-03-20,49.0917,52.6068
2023-03-21,49.1624,52.6837
2023-03-22,49.3806,52.9187
2023-03-23,49.1622,52.6859
2023-03-24,49.0343,52.5501
2023-03-27,48.924,52.4353
2023-03-28,48.7486,52.2485
