date,nav_regular_growth,nav_direct_growth
2013-05-31,16.8902,16.9166
2013-06-03,16.8952,16.9221
2013-06-04,16.9029,16.9300
2013-06-05,16.9083,16.9356
2013-06-06,16.9109,16.9384
2013-06-07,16.9182,16.9458
2013-06-10,16.9293,16.9575
2013-06-11,16.9281,16.9565
2013-06-12,16.9232,16.9517
2013-06-13,16.9371,16.9658
2013-06-14,16.9336,16.9625
2013-06-17,16.9452,16.9747
2013-06-18,16.9566,16.9862
2013-06-19,16.9534,16.9832
2013-06-20,16.9622,16.9922
2013-06-21,16.9660,16.9962
2013-06-24,16.9702,17.0010
2013-06-25,16.9652,16.9961
2013-06-26,16.9621,16.9931
2013-06-27,16.9617,16.9929
2013-06-28,16.9730,17.0044
2013-07-01,16.9790,17.0110
2013-07-02,16.9825,17.0147
2013-07-03,16.9862,17.0186
2013-07-04,16.9900,17.0225
2013-07-05,16.9934,17.0261
2013-07-08,16.9950,17.0282
2013-07-09,17.0013,17.0347
2013-07-10,17.0056,17.0393
2013-07-11,17.0094,17.0432
2013-07-12,17.0080,17.0420
2013-07-15,17.0136,17.0482
2013-07-16,16.9778,17.0125
2013-07-17,16.9767,17.0115
2013-07-18,16.9846,17.0196
2013-07-19,16.9870,17.0222
2013-07-22,16.9922,17.0279
2013-07-23,16.9888,17.0248
2013-07-24,16.9827,17.0188
2013-07-25,16.9883,17.0246
2013-07-26,16.9928,17.0292
2013-07-29,16.9986,17.0357
2013-07-30,17.0028,17.0400
2013-07-31,16.9986,17.0359
2013-08-01,17.0099,17.0475
2013-08-02,17.0116,17.0493
2013-08-05,17.0257,17.0640
2013-08-06,17.0269,17.0654
2013-08-07,17.0358,17.0744
2013-08-08,17.0431,17.0820
2013-08-12,17.0535,17.0932
2013-08-13,17.0532,17.0930
2013-08-14,17.0540,17.0940
2013-08-16,17.0602,17.1005
2013-08-19,17.0526,17.0934
2013-08-20,17.0616,17.1027
2013-08-21,17.0841,17.1254
2013-08-22,17.0771,17.1186
2013-08-23,17.0903,17.1320
2013-08-26,17.1009,17.1431
2013-08-27,17.0968,17.1392
2013-08-28,17.0897,17.1322
2013-08-29,17.0941,17.1368
2013-08-30,17.1076,17.1505
2013-09-02,17.1240,17.1675
2013-09-03,17.1305,17.1742
2013-09-04,17.1355,17.1794
2013-09-05,17.1483,17.1924
2013-09-06,17.1517,17.1960
2013-09-10,17.1646,17.2095
2013-09-11,17.1712,17.2163
2013-09-12,17.1724,17.2176
2013-09-13,17.1777,17.2231
2013-09-16,17.1926,17.2386
2013-09-17,17.1945,17.2407
2013-09-18,17.2006,17.2470
2013-09-19,17.2072,17.2537
2013-09-20,17.2088,17.2555
2013-09-23,17.2169,17.2641
2013-09-24,17.2185,17.2659
2013-09-25,17.2130,17.2605
2013-09-26,17.2228,17.2705
2013-09-27,17.2417,17.2896
2013-09-30,17.2466,17.2950
2013-10-01,17.2562,17.3049
2013-10-03,17.2616,17.3106
2013-10-04,17.2806,17.3298
2013-10-07,17.2912,17.3409
2013-10-08,17.3086,17.3586
2013-10-09,17.2997,17.3498
2013-10-10,17.3056,17.3559
2013-10-11,17.3084,17.3589
2013-10-14,17.3202,17.3712
2013-10-15,17.3316,17.3828
2013-10-17,17.3381,17.3897
2013-10-18,17.3358,17.3876
2013-10-21,17.3477,17.3999
2013-10-22,17.3487,17.4011
2013-10-23,17.3554,17.4080
2013-10-24,17.3638,17.4166
2013-10-25,17.3724,17.4254
2013-10-28,17.3786,17.4321
2013-10-29,17.3767,17.4304
2013-10-30,17.3943,17.4482
2013-10-31,17.3964,17.4505
2013-11-01,17.3861,17.4403
2013-11-05,17.4084,17.4633
2013-11-06,17.4087,17.4638
2013-11-07,17.4186,17.4740
2013-11-08,17.4180,17.4735
2013-11-11,17.4219,17.4779
2013-11-12,17.4175,17.4736
2013-11-13,17.4228,17.4791
2013-11-14,17.4336,17.4901
2013-11-18,17.4497,17.5070
2013-11-19,17.4547,17.5122
2013-11-20,17.4621,17.5197
2013-11-21,17.4739,17.5317
2013-11-22,17.4751,17.5332
2013-11-25,17.4777,17.5363
2013-11-26,17.4890,17.5477
2013-11-27,17.4951,17.5540
2013-11-28,17.4946,17.5537
2013-11-29,17.4880,17.5473
2013-12-02,17.5031,17.5630
2013-12-03,17.5133,17.5733
2013-12-04,17.5213,17.5815
2013-12-05,17.5261,17.5865
2013-12-06,17.5165,17.5771
2013-12-09,17.5373,17.5984
2013-12-10,17.5415,17.6028
2013-12-11,17.5414,17.6028
2013-12-12,17.5600,17.6217
2013-12-13,17.5522,17.6141
2013-12-16,17.5625,17.6249
2013-12-17,17.5719,17.6345
2013-12-18,17.5679,17.6306
2013-12-19,17.5855,17.6484
