date,nav_regular_growth,nav_direct_growth
2016-08-02,139.0316,140.7899
2016-08-03,138.0952,139.8439
2016-08-04,138.4558,140.2113
2016-08-05,140.1770,141.9566
2016-08-08,140.6641,142.4568
2016-08-09,140.3554,142.1465
2016-08-10,138.7697,140.5428
2016-08-11,138.9529,140.7306
2016-08-12,138.8094,140.5876
2016-08-16,138.4527,140.2320
2016-08-17,138.6709,140.4552
2016-08-18,139.4873,141.2844
2016-08-19,139.5978,141.3985
2016-08-22,139.1759,140.9781
2016-08-23,139.2114,141.0163
2016-08-24,139.9767,141.7938
2016-08-25,139.5156,141.3290
2016-08-26,139.3422,141.1557
2016-08-29,139.4400,141.2616
2016-08-30,140.9909,142.8351
2016-08-31,141.6408,143.4958
2016-09-01,141.5295,143.3853
2016-09-02,142.0564,143.9214
2016-09-06,143.4316,145.3240
2016-09-07,143.5596,145.4560
2016-09-08,144.1949,146.1021
2016-09-09,143.5272,145.4279
2016-09-12,141.2942,143.1723
2016-09-14,141.6508,143.5383
2016-09-15,141.6849,143.5752
2016-09-16,142.0779,143.9757
2016-09-19,142.4936,144.4040
2016-09-20,142.5409,144.4543
2016-09-21,142.5718,144.4879
2016-09-22,143.8466,145.7822
2016-09-23,143.5931,145.5276
2016-09-26,142.6534,144.5823
2016-09-27,142.6939,144.6256
2016-09-28,143.5217,145.4671
2016-09-29,140.7384,142.6484
2016-09-30,142.0579,143.9880
2016-10-03,144.0834,146.0481
2016-10-04,144.3927,146.3640
2016-10-05,144.5561,146.5320
2016-10-06,143.9834,145.9538
2016-10-07,143.9716,145.9442
2016-10-10,144.2913,146.2754
2016-10-13,142.8141,144.7850
2016-10-14,143.3228,145.3030
2016-10-17,142.6158,144.5933
2016-10-18,144.2844,146.2873
2016-10-19,144.3708,146.3773
2016-10-20,144.9314,146.9480
2016-10-21,145.0265,147.0469
2016-10-24,145.3116,147.3431
2016-10-25,145.3804,147.4152
2016-10-26,144.4970,146.5218
2016-10-27,144.1764,146.1991
2016-10-28,144.6038,146.6349
2016-11-01,144.8128,146.8527
2016-11-02,143.4574,145.4807
2016-11-03,142.3661,144.3764
2016-11-04,141.0971,143.0919
2016-11-07,142.1407,144.1574
2016-11-08,142.3917,144.4144
2016-11-09,141.5653,143.5787
2016-11-10,143.0095,145.0458
2016-11-11,140.4719,142.4746
2016-11-15,137.6663,139.6384
2016-11-16,137.4013,139.3719
2016-11-17,137.2540,139.2247
2016-11-18,137.1195,139.0906
2016-11-21,135.2934,137.2452
2016-11-22,136.0597,138.0250
2016-11-23,136.9739,138.9546
2016-11-24,136.4042,138.3790
2016-11-25,138.4143,140.4206
2016-11-28,138.4795,140.4937
2016-11-29,138.8744,140.8967
2016-11-30,139.8354,141.8733
2016-12-01,139.4366,141.4710
2016-12-02,138.2614,140.2810
2016-12-05,138.8748,140.9103
2016-12-06,138.9859,141.0254
2016-12-07,138.1801,140.2102
2016-12-08,139.3640,141.4137
2016-12-09,139.8686,141.9281
2016-12-12,138.9113,140.9638
2016-12-13,139.0890,141.1465
2016-12-14,138.4661,140.5168
2016-12-15,138.1009,140.1485
2016-12-16,137.8598,139.9061
2016-12-19,137.5832,139.6312
2016-12-20,137.1202,139.1637
2016-12-21,137.0200,139.0643
2016-12-22,135.8777,137.9072
2016-12-23,136.0429,138.0772
2016-12-26,134.5080,136.5262
2016-12-27,136.0900,138.1342
2016-12-28,136.3825,138.4334
2016-12-29,137.2683,139.3349
2016-12-30,138.3653,140.4507
2017-01-02,138.7726,140.8700
2017-01-03,139.1811,141.2871
2017-01-04,139.3494,141.4599
2017-01-05,140.3989,142.5277
2017-01-06,139.8982,142.0217
2017-01-09,139.9292,142.0603
2017-01-10,140.3989,142.5395
2017-01-11,141.5197,143.6798
2017-01-12,141.7858,143.9523
2017-01-13,141.5702,143.7358
2017-01-16,141.8058,143.9822
2017-01-17,141.8915,144.0717
2017-01-18,142.2548,144.4428
2017-01-19,142.7976,144.9965
2017-01-20,141.6050,143.7879
2017-01-23,142.0203,144.2168
2017-01-24,143.1498,145.3646
2017-01-25,144.1536,146.3865
2017-01-27,144.6422,146.8875
2017-01-30,144.6096,146.8617
2017-01-31,143.0844,145.3152
2017-02-01,144.9408,147.2031
2017-02-02,145.8129,148.0913
2017-02-03,146.5225,148.8146
2017-02-06,147.5205,149.8360
2017-02-07,147.4098,149.7263
2017-02-08,147.4186,149.7378
2017-02-09,147.5022,149.8254
2017-02-10,147.4784,149.8038
2017-02-13,147.1944,149.5232
2017-02-14,147.2048,149.5363
2017-02-15,146.1183,148.4352
2017-02-16,147.3322,149.6710
2017-02-17,148.1851,150.5400
2017-02-20,148.9898,151.3654
2017-02-21,149.1844,151.5658
2017-02-22,148.4455,150.8178
2017-02-23,148.3784,150.7522
2017-02-27,148.0802,150.4597
2017-02-28,148.1189,150.5017
2017-03-01,148.6528,151.0468
2017-03-02,147.3991,149.7756
2017-03-03,148.1065,150.4970
2017-03-06,148.4471,150.8510
2017-03-07,148.3131,150.7174
2017-03-08,147.9438,150.3448
2017-03-09,148.0458,150.4511
2017-03-10,147.8196,150.2239
2017-03-14,149.4553,151.8967
2017-03-15,149.7064,152.1546
2017-03-16,150.5831,153.0470
2017-03-17,150.6018,153.0685
2017-03-20,150.3849,152.8561
2017-03-21,150.3434,152.8165
2017-03-22,149.4059,151.8663
2017-03-23,150.1681,152.6434
2017-03-24,150.3567,152.8379
2017-03-27,149.9525,152.4350
2017-03-28,150.6561,153.1529
2017-03-29,151.2166,153.7254
2017-03-30,151.6219,154.1400
2017-03-31,151.7413,154.2654
2017-04-03,152.4761,155.0168
2017-04-05,152.9100,155.4634
2017-04-06,152.6514,155.2032
2017-04-07,151.8479,154.3890
2017-04-10,152.0641,154.6168
2017-04-11,152.8112,155.3792
2017-04-12,152.6491,155.2171
2017-04-13,152.4586,155.0262
2017-04-17,152.6910,155.2733
2017-04-18,152.4607,155.0419
2017-04-19,152.6915,155.2793
2017-04-20,153.3284,155.9297
2017-04-21,153.1638,155.7650
2017-04-24,153.9336,156.5561
2017-04-25,154.9950,157.6383
2017-04-26,155.1170,157.7652
2017-04-27,154.9318,157.5796
2017-04-28,155.2464,157.9023
2017-05-02,155.3633,158.0300
2017-05-03,154.9375,157.5998
2017-05-04,156.0443,158.7286
2017-05-05,155.4748,158.1522
2017-05-08,156.1365,158.8342
2017-05-09,156.3123,159.0160
2017-05-10,157.0027,159.7213
2017-05-11,156.6799,159.3959
2017-05-12,156.5095,159.2255
2017-05-15,157.2597,159.9977
2017-05-16,157.7184,160.4673
2017-05-17,157.5489,160.2978
2017-05-18,156.0478,158.7735
2017-05-19,155.7702,158.4940
2017-05-22,154.9992,157.7183
2017-05-23,153.9849,156.6892
2017-05-24,153.1135,155.8054
2017-05-25,155.0332,157.7617
2017-05-26,156.3015,159.0554
2017-05-29,155.3765,158.1228
2017-05-30,156.1470,158.9100
2017-05-31,156.9212,159.7009
2017-06-01,157.1921,159.9795
2017-06-02,157.6192,160.4171
2017-06-05,157.8407,160.6515
2017-06-06,157.4783,160.2857
2017-06-07,158.0997,160.9211
2017-06-08,158.2319,161.0587
2017-06-09,158.5090,161.3438
2017-06-12,157.8422,160.6740
2017-06-13,157.8400,160.6747
2017-06-14,157.9022,160.7411
2017-06-15,157.9785,160.8217
2017-06-16,158.1151,160.9637
2017-06-19,158.2894,161.1502
2017-06-20,158.4702,161.3373
2017-06-21,158.2383,161.1042
2017-06-22,157.9902,160.8546
2017-06-23,157.3355,160.1910
2017-06-27,156.8599,159.7186
2017-06-28,156.9308,159.7938
2017-06-29,157.5528,160.4301
2017-06-30,158.1528,161.0440
2017-07-03,159.4045,162.3277
2017-07-04,159.2105,162.1332
2017-07-05,159.9585,162.8979
2017-07-06,160.1739,163.1203
2017-07-07,159.9840,162.9300
2017-07-10,160.8063,163.7765
2017-07-11,160.4277,163.3940
2017-07-12,161.0556,164.0364
2017-07-13,161.8745,164.8737
2017-07-14,161.7193,164.7186
2017-07-17,162.0574,165.0722
2017-07-18,161.3281,164.3324
2017-07-19,162.2511,165.2756
2017-07-20,162.2160,165.2430
2017-07-21,162.1662,165.1953
2017-07-24,162.3447,165.3863
2017-07-25,162.5057,165.5534
2017-07-26,162.9213,165.9799
2017-07-27,162.2269,165.2755
2017-07-28,161.9778,165.0249
2017-07-31,162.3513,165.4146
2017-08-01,162.6674,165.7405
2017-08-02,162.3008,165.3706
2017-08-03,161.7019,164.7642
