date,nav_regular_growth,nav_direct_growth
2022-06-10,10.2379,10.2567
2022-06-13,9.9682,9.9867
2022-06-14,9.9412,9.9597
2022-06-15,9.9243,9.9428
2022-06-16,9.7152,9.7333
2022-06-17,9.6727,9.6909
2022-06-20,9.7090,9.7274
2022-06-21,9.8907,9.9095
2022-06-22,9.7486,9.7672
2022-06-23,9.8388,9.8576
2022-06-24,9.9285,9.9475
2022-06-27,10.0118,10.0312
2022-06-28,10.0231,10.0426
2022-06-29,9.9907,10.0102
2022-06-30,9.9822,10.0017
2022-07-01,9.9643,9.9838
2022-07-04,10.0190,10.0388
2022-07-05,10.0033,10.0231
2022-07-06,10.1162,10.1363
2022-07-07,10.2068,10.2271
2022-07-08,10.2626,10.2831
2022-07-11,10.2600,10.2806
2022-07-12,10.1603,10.1808
2022-07-13,10.1024,10.1229
2022-07-14,10.0879,10.1084
2022-07-15,10.1576,10.1783
2022-07-18,10.3021,10.3233
2022-07-19,10.3428,10.3641
2022-07-20,10.4566,10.4782
2022-07-21,10.5164,10.5382
2022-07-22,10.5885,10.6104
2022-07-25,10.5323,10.5544
2022-07-26,10.4392,10.4611
2022-07-27,10.5404,10.5626
2022-07-28,10.7222,10.7448
2022-07-29,10.8667,10.8897
2022-08-01,10.9825,11.0059
2022-08-02,10.9864,11.0099
2022-08-03,11.0144,11.0380
2022-08-04,11.0104,11.0341
2022-08-05,11.0202,11.0439
2022-08-08,11.1061,11.1302
2022-08-10,11.1141,11.1383
2022-08-11,11.1966,11.2211
2022-08-12,11.2217,11.2463
2022-08-16,11.3018,11.3268
2022-08-17,11.3771,11.4023
2022-08-18,11.3907,11.4161
2022-08-19,11.2677,11.2928
2022-08-22,11.0978,11.1228
2022-08-23,11.1526,11.1778
2022-08-24,11.1699,11.1952
2022-08-25,11.1168,11.1420
2022-08-26,11.1396,11.1650
2022-08-29,10.9834,11.0086
2022-08-30,11.2660,11.2919
2022-09-01,11.1285,11.1542
2022-09-02,11.1261,11.1519
2022-09-05,11.2058,11.2320
2022-09-06,11.1992,11.2254
2022-09-07,11.1792,11.2054
2022-09-08,11.2895,11.3161
2022-09-09,11.3114,11.3380
2022-09-12,11.3763,11.4033
2022-09-13,11.4610,11.4883
2022-09-14,11.4188,11.4461
2022-09-15,11.3386,11.3657
2022-09-16,11.1186,11.1453
2022-09-19,11.1763,11.2033
2022-09-20,11.2993,11.3267
2022-09-21,11.2371,11.2644
2022-09-22,11.1808,11.2081
2022-09-23,10.9888,11.0156
2022-09-26,10.7915,10.8177
2022-09-27,10.7857,10.8119
2022-09-28,10.6913,10.7174
2022-09-29,10.6648,10.6909
2022-09-30,10.8398,10.8664
2022-10-03,10.7082,10.7346
2022-10-04,10.9535,10.9806
2022-10-06,10.9897,11.0169
2022-10-07,10.9787,11.0060
2022-10-10,10.9317,10.9591
2022-10-11,10.7684,10.7954
2022-10-12,10.8571,10.8844
2022-10-13,10.7876,10.8149
2022-10-14,10.8963,10.9238
2022-10-17,10.9771,11.0051
2022-10-18,11.0881,11.1164
2022-10-19,11.1056,11.1340
2022-10-20,11.1383,11.1668
2022-10-21,11.1460,11.1746
2022-10-25,11.1964,11.2254
2022-10-27,11.2560,11.2853
2022-10-28,11.2875,11.3169
2022-10-31,11.4310,11.4610
2022-11-01,11.5176,11.5479
2022-11-02,11.4778,11.5081
2022-11-03,11.4586,11.4889
2022-11-04,11.4993,11.5298
2022-11-07,11.5533,11.5841
2022-11-09,11.5257,11.5566
2022-11-10,11.4440,11.4747
2022-11-11,11.6478,11.6791
2022-11-14,11.6345,11.6660
2022-11-15,11.6814,11.7131
2022-11-16,11.6853,11.7171
2022-11-17,11.6435,11.6752
2022-11-18,11.6204,11.6521
2022-11-21,11.5264,11.5581
2022-11-22,11.5798,11.6116
2022-11-23,11.5943,11.6263
2022-11-24,11.7317,11.7641
2022-11-25,11.7498,11.7823
2022-11-28,11.7812,11.8141
2022-11-29,11.8162,11.8492
2022-11-30,11.9049,11.9382
2022-12-01,11.9392,11.9727
2022-12-02,11.8655,11.8989
2022-12-05,11.8683,11.9019
2022-12-06,11.8312,11.8647
2022-12-07,11.7789,11.8123
2022-12-08,11.8098,11.8434
2022-12-09,11.7381,11.7716
2022-12-12,11.7381,11.7718
2022-12-13,11.8084,11.8423
2022-12-14,11.8415,11.8756
2022-12-15,11.6856,11.7194
2022-12-16,11.5930,11.6265
2022-12-19,11.6887,11.7227
2022-12-20,11.6663,11.7003
2022-12-21,11.5480,11.5818
2022-12-22,11.5024,11.5361
2022-12-23,11.2989,11.3321
2022-12-26,11.4305,11.4642
2022-12-27,11.5050,11.5390
2022-12-28,11.4987,11.5328
2022-12-29,11.5420,11.5763
2022-12-30,11.4881,11.5223
2023-01-02,11.5459,11.5804
2023-01-03,11.5680,11.6027
2023-01-04,11.4476,11.4820
2023-01-05,11.4152,11.4496
2023-01-06,11.3309,11.3651
2023-01-09,11.4840,11.5188
2023-01-10,11.3651,11.3997
2023-01-11,11.3533,11.3879
2023-01-12,11.3294,11.3639
